millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2
4038,0,-0.03,2.68,1.23,-0.37,0.00,0.06,0.11,2.05,1.30,-0.00
4063,0,-0.03,2.68,1.23,-0.62,-0.13,-0.13,0.11,2.05,1.30,-0.00
4091,0,-0.02,2.68,1.23,-0.50,-0.06,-0.06,0.12,2.05,1.30,-0.00
4119,0,-0.01,2.68,1.23,-0.50,-0.06,0.06,0.13,2.05,1.30,-0.00
4174,0,-0.01,2.68,1.23,-0.56,0.13,-0.06,0.13,2.05,1.30,-0.00
4202,0,-0.01,2.68,1.23,-0.19,-0.13,0.00,-0.08,2.05,1.30,-0.00
4255,0,-0.01,2.68,1.23,0.37,-0.19,0.00,0.13,2.05,1.30,0.00
4281,0,-0.01,2.68,1.23,0.31,-0.06,0.00,0.13,2.05,1.30,-0.00
4325,0,-0.01,2.68,1.23,0.25,0.06,-0.06,0.13,2.05,1.30,-0.00
4368,0,-0.01,2.68,1.23,0.37,0.00,0.06,-0.08,2.05,1.30,0.00
4394,0,-0.01,2.68,1.23,0.25,-0.06,-0.06,-0.08,2.05,1.30,0.00
4421,0,-0.01,2.68,1.23,0.25,-0.06,-0.19,0.13,2.05,1.30,-0.00
4447,0,-0.01,2.68,1.23,-0.06,0.13,0.00,-0.08,2.05,1.30,0.00
4512,0,-0.01,2.68,1.23,-0.13,0.13,0.13,0.13,2.05,1.30,-0.00
4540,0,-0.01,2.68,1.23,-0.06,0.00,0.00,-0.08,2.05,1.30,0.00
4569,0,-0.01,2.68,1.23,-0.37,0.06,-0.19,0.13,2.05,1.30,-0.00
4597,0,-0.01,2.68,1.23,-0.25,0.19,0.00,-0.08,2.05,1.30,-0.00
4623,0,-0.01,2.68,1.23,-0.31,-0.06,0.06,0.13,2.05,1.30,-0.00
4671,0,-0.01,2.68,1.23,-.44,-0.06,0.00,0.13,2.05,1.30,-0.00
4691,0,-0.01,2.68,1.23,-0.50,0.06,-0.13,0.13,2.05,1.30,-0.00
4733,0,-0.01,2.68,1.23,-0.56,0.00,-0.06,0.13,2.05,1.30,-0.00
4808,0,-0.01,2.68,1.23,-0.13,0.00,0.00,0.13,2.05,1.30,-0.00
4841,0,-0.01,2.68,1.23,-0.06,0.19,-0.13,0.13,2.05,1.30,-0.00
4896,0,-0.01,2.68,1.23,0.37,-0.06,0.06,-0.08,2.05,1.30,0.00
4927,0,-0.01,2.68,1.23,0.37,0.00,0.06,0.13,2.05,1.30,0.00
4965,0,-0.01,2.68,1.23,0.31,-0.06,0.13,-0.08,2.05,1.30,0.00
5008,0,-0.01,2.68,1.23,0.56,0.00,0.13,-0.08,2.05,1.30,0.00
5039,0,-0.01,2.68,1.23,0.37,0.00,-0.06,-0.08,2.05,1.30,0.00
5084,0,-0.02,2.68,1.23,0.37,0.00,0.00,0.12,2.05,1.30,0.00
5144,0,-0.03,2.68,1.23,0.06,0.06,0.25,0.11,2.05,1.30,0.00
5174,0,-0.03,2.68,1.23,0.25,0.13,-0.06,0.11,2.05,1.30,-0.00
5214,0,-0.03,2.68,1.23,-0.13,0.19,0.13,0.11,2.05,1.30,0.00
5254,0,-0.03,2.68,1.23,0.00,-0.06,-0.19,0.11,2.05,1.30,-0.00
5375,0,-0.03,2.68,1.23,-0.06,0.00,0.25,-0.10,2.05,1.30,-0.00
5419,0,-0.03,2.68,1.23,-0.37,-0.06,0.06,-0.10,2.05,1.30,-0.00
5464,0,-0.03,2.68,1.23,0.00,0.06,0.06,0.11,2.05,1.30,-0.00
5493,0,-0.03,2.68,1.23,0.19,0.06,0.00,0.11,2.05,1.30,-0.00
5523,0,-0.03,2.68,1.23,0.19,-0.06,-0.19,-0.10,2.05,1.30,0.00
5604,0,-0.03,2.68,1.23,0.56,0.06,0.06,-0.10,2.05,1.30,0.00
5716,0,-0.05,2.68,1.23,0.56,0.06,0.13,-0.12,2.05,1.30,0.00
5844,0,-0.07,2.68,1.23,0.19,-0.13,0.00,0.07,2.05,1.30,0.00
5886,0,-0.07,2.68,1.23,0.00,0.00,0.13,-0.14,2.05,1.30,0.00
5957,0,-0.07,2.68,1.23,-0.19,0.00,0.06,-0.14,2.05,1.30,0.00
5990,0,-0.07,2.68,1.23,-0.25,0.06,0.13,-0.14,2.05,1.30,0.00
6046,0,-0.07,2.68,1.23,-0.37,-0.13,0.13,-0.14,2.05,1.30,-0.00
6078,0,-0.06,2.68,1.23,-0.69,0.06,0.06,0.08,2.05,1.30,-0.00
6118,0,-0.06,2.68,1.23,-0.44,0.00,0.06,0.08,2.05,1.30,-0.00
6193,0,-0.05,2.68,1.23,-0.37,0.00,-0.06,0.09,2.05,1.30,-0.00
6230,0,-0.05,2.68,1.23,-0.44,0.00,0.13,-0.12,2.05,1.30,0.00
6305,0,-0.05,2.68,1.23,-0.19,0.06,0.00,-0.12,2.05,1.30,-0.00
