micros,flip,phase,spf_roll,roll_rlv,roll,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
60578,1,0,0.00,0.00,6.58,0.00,-5.81,6.14,-5.00,1599.00,1597.00,1597.00,1599.00
60745,1,0,0.00,0.00,5.86,0.00,1.62,5.29,0.81,1533.00,1527.00,1527.00,1533.00
60791,1,0,0.00,0.00,6.07,0.00,4.62,5.43,1.87,1480.00,1474.00,1474.00,1480.00
61054,1,0,0.00,0.00,5.93,0.00,0.44,5.44,-2.06,1182.00,1178.00,1178.00,1182.00
61324,1,0,0.00,0.00,6.32,0.00,0.75,5.75,1.69,1017.00,1011.00,1011.00,1017.00
61364,1,0,0.00,0.00,6.31,0.00,-1.31,5.76,0.19,1017.00,1011.00,1011.00,1017.00
61505,0,0,0.00,0.00,6.28,0.00,1.12,5.71,1.56,1017.00,1011.00,1011.00,1017.00
61636,0,0,0.00,0.00,6.33,0.00,1.31,5.76,1.44,1017.00,1011.00,1011.00,1017.00
61781,0,0,0.00,0.00,6.18,0.00,0.19,5.62,0.44,1017.00,1011.00,1011.00,1017.00
61843,0,0,0.00,0.00,6.28,0.00.00,2.25,5.72,3.00,1018.00,1010.00,1010.00,1018.00
61902,0,0,0.00,0.00,6.39,0.00,1.37,5.82,1.37,1017.00,1011.00,1011.00,1017.00
61945,0,0,0.00,0.00,6.38,0.00,-0.88,5.83,-0.56,1017.00,1011.00,1011.00,1017.00
62087,0,0,0.00,0.00,6.35,0.00,-0.88,5.81,-0.75,1016.00,1012.00,1012.00,1016.00
62218,0,0,0.00,0.00,6.32,0.00,0.37,5.76,0.13,1017.00,1011.00,1011.00,1017.00
62339,0,0,0.00,0.00,6.34,0.00,0.94,5.77,0.75,1017.00,1011.00,1011.00,1017.00
62467,0,0,0.00,0.00,5.71,0.00,0.13,5.15,-0.25,1016.00,1012.00,1012.00,1016.00
62605,0,0,0.00,0.00,5.14,0.00,-0.56,4.58,-0.62,1016.00,1012.00,1012.00,1016.00
62640,0,0,0.00,0.00,4.80,0.00,0.31,4.39,0.37,1016.00,1012.00,1012.00,1016.00
62662,0,0,0.00,0.00,4.80,0.00,0.44,4.24,0.44,1016.00,1012.00,1012.00,1016.00
62781,0,0,0.00,0.00,4.38,0.00,-0.06,3.82,-0.25,1016.00,1012.00,1012.00,1016.00
62905,0,0,0.00,0.00,4.02,0.00,-0.44,3.46,-0.37,1015.00,1013.00,1013.00,1015.00
63170,0,0,0.00,0.00,3.04,0.00,-0.13,2.62,0.19,1015.00,1013.00,1013.00,1015.00
63354,0,0,0.00,0.00,2.02,0.00,0.37,1.50,0.06,1014.00,1014.00,1014.00,1014.00
63447,0,0,0.00,0.00,1.70,0.00,0.56,1.18,0.31,1014.00,1014.00,1014.14.00,1014.00
63471,0,0,0.00,0.00,1.63,0.00,0.25,1.09,0.37,1014.00,1014.00,1014.00,1014.00
63587,0,0,0.00,0.00,1.30,0.00,-0.37,0.80,-0.75,1014.00,1014.00,1014.00,1014.00
63744,0,0,0.00,0.00,1.02,0.00,0.00,0.50,0.06,1014.00,1014.00,1014.00,1014.00
63857,0,0,0.00,0.00,0.86,0.00,0.00,0.32,-0.06,1014.00,1014.00,1014.00,1014.00
63931,0,0,0.00,0.00,0.75,0.00,-0.37,0.22,-0.37,1014.00,1014.00,1014.00,1014.00
64044,0,0,0.00,0.00,0.64,0.00,-0.06,0.09,-0.19,1014.00,1014.00,1014.00,1014.00
64151,0,0,0.00,0.00,0.55,0.00,0.19,0.01,0.13,1014.004.00,1014.00,1014.00,1014.00
64176,0,0,0.00,0.00,0.53,0.00,-0.13,-0.02,0.31,1014.00,1014.00,1014.00,1014.00
64327,0,0,0.00,0.00,0.41,0.00,-0.19,-0.14,-0.44,1014.00,1014.00,1014.00,1014.00
64382,0,0,0.00,0.00,0.36,0.00,0.00,-0.19,0.19,1014.00,1014.00,1014.00,1014.00
64486,0,0,0.00,0.00,0.31,0.00,-0.06,-0.25,0.00,1014.00,1,1014.00,1014.00
64508,0,0,0.00,0.00,0.29,0.00,-0.06,-0.27,0.06,1014.00,1014.00,1014.00,1014.00
