millis,armed,flip,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
31737,1,1,0.48,5.12,-0.69,-3.19,-0.94,0.19,0.41,4.49,-0.62,-.00000070,1398.00,1396.00,1396.00,1398.00
32022,1,1,1.34,5.14,-0.67,-0.13,-0.50,-0.44,1.27,4.51,-0.60,-0.00000038,1397.00,1397.00,1397.00,1397.00
32105,1,1,1.23,5.14,-0.65,1.12,0.13,-0.81,1.16,4.51,-0.58,-0011,1397.00,1397.00,1397.00,1397.00
32255,1,1,1.52,5.13,-0.64,-2.56,0.06,-0.19,1.45,4.50,-0.57,-0.00000087,1398.00,1396.00,1396.00,1398.00
32439,1,1,0.74,5.05,-0.65,5.06,-0.06,-0.37,0.67,4.42,-0.58,0.00000075,1396.00,1398.00,1398.00,1396.00
32593,1,1,-0.01,5.05,-0.68,3.56,0.56,-0.50,-0.08,4.42,-0.61,0.00000068,1396.00,1398.00,1398.00,1396.00
32654,1,1,-0.07,5.05,-0.70,-1.00,-0.88,-0.44,-0.14,4.42,-0.63,-0.00000014,1397.00,1397.00,1397.00,1397.00
32819,1,1,0.21,4.94,-0.70,-1.87,-0.13,-0.25,0.14,4.31,-0.63,-0.00000039,1397.00,1397.00,1397.00,1397.00
33171,1,1,-0.29,4.99,-0.74,2.44,0.13,-0.44,-0.36,4.36,-0.67,0.00000055,1396.00,1398.00,1398.00,1396.00
33411,1,1,0.46,4.98,-0.73,-4.62,0.13,-0.13,0.39,4.35,-0.66,-0.00000096,1398.00,1396.00,1396.00,1398.00
33485,1,1,0.45,5.03,-0.74,1.19,0.06,0.75,0.38,4.40,-0.67,0.00000011,1397.00,1397.00,1397.00,1397.00
33518,1,1,0.42,5.03,-0.73,0.69,0.19,-0.88,0.35,4.40,-0.66,0.00000003,1397.00,1397.00,1397.00,1397.00
33581,1,1,0.49,5.03,-0.73,-1.69,-0.06,0.50,0.42,4.40,-0.66,-0.00000043,1397.00,1397.00,1397.00,1397.00
33739,1,1,0.68,5.08,-0.72,-1.50,-0.13,-0.88,0.61,4.45,-0.65,-0.00000044,1397.00,1397.00,1397.00,1397.00
33977,1,1,0.40,5.09,-0.73,2.00,-0.19,0.00,0.33,4.46,-0.66,0.00000028,1397.00,1397.00,1397.00,1397.00
34099,1,1,0.25,5.10,-0.72,0.94,-0.19,-0.25,0.18,4.47,-0.65,0.00000012,1397.00,1397.00,1397.00,1397.00
34290,1,1,0.29,5.10,-0.73,-0.13,0.06,-1.25,0.22,4.47,-0.66,-0.00000008,1397.00,1397.00,1397.00,1397.00
34322,1,1,0.31,5.10,-0.73,-1.19,0.37,1.50,0.24,4.47,-0.66,-0.00000029,1397.00,1397.00,1397.00,1397.00
34551,1,1,0.80,5.11,-0.73,-3.56,-0.31,1.06,0.73,4.48,-0.66,-0.00000086,1398.00,1396.00,1396.00,1398.00
34785,1,1,0.43,5.03,-0.74,5.62,0.62,0.75,0.36,4.40,-0.67,0.00000094,1396.00,1398.00,1398.00,1396.00
35099,1,1,0.63,5.01,-0.73,-6.75,-0.56,0.37,0.56,4.38,-0.66,-0.00000140,1399.00,1395.00,1395.00,1399.00
35129,1,1,0.84,5.00,-0.70,-7.00,-0.62,0.13,0.77,4.37,-0.63,-0.00000150,1400.00,1394.00,1394.00,1400.00
35197,1,1,1.22,5.00,-0.72,-3.75,-0.44,0.94,1.15,4.37,-0.65,-0.00000101,1399.00,1395.00,1395.00,1399.00
35219,1,1,1.27,5.00,-0.69,-0.81,0.19,-0.81,1.20,4.37,-0.62,-0.00000048,1397.00,1397.00,1397.00,1397.00
35349,1,1,1.01,5.01,-0.72,5.19,-0.37,0.94,0.94,4.38,-0.65,0.00000069,1396.00,1398.00,1398.00,1396.00
35591,1,1,05,5.02,-0.73,-1.06,-0.25,-0.06,-0.12,4.39,-0.66,-0.00000016,1397.00,1397.00,1397.00,1397.00
35668,1,1,0.28,4.99,-0.74,-5.75,0.00,-0.37,0.21,4.36,-0.67,-0.00000112,1399.00,1395.00,1395.00,1399.00
35709,1,1,0.42,4.99,-0.74,-4.31,-0.13,-0.06,0.35,4.36,-0.67,-0.00000089,1398.00,1396.00,1396.00,1398.00
35772,1,1,0.60,4.98,-0.74,-3.25,-0.25,-0.25,0.53,4.35,-0.67,-0.00000074,1398.00,1396.00,1396.00,1398.00
35934,1,1,0.65,4.98,-0.74,1.37,0.44,-0.44,0.58,4.35,-0.67,0.00000009,1397.00,1397.00,1397.00,1397.00
36135,1,1,0.04,5.00,-0.74,-0.25,0.19,0.50,-0.03,4.37,-0.67,-0.00000004,1397.00,1397.00,1397.00,1397.00
36268,1,1,0.47,5.02,-0.73,-5.12,-0.81,-0.44,0.40,4.39,-0.66,-0.00000105,1399.00,1395.00,1395.00,1399.00
36350,1,1,0.65,5.02,-0.73,-2.62,-0.13,0.62,0.58,4.39,-0.66,-0.00000064,1398.00,1396.00,1396.00,1398.00
36372,1,1,0.74,5.01,-0.72,-2.56,-0.19,-1.00,0.67,4.38,-0.65,-6,1398.00,1396.00,1396.00,1398.00
36511,1,1,0.85,5.01,-0.71,-1.19,0.25,0.62,0.78,4.38,-0.64,-0.00000043,1397.00,1397.00,1397.00,1397.00
36852,1,1,0.49,5.08,-0.72,-1.00,-0.37,-0.75,0.42,4.45,-0.65,-0.00000030,1397.00,1397.00,1397.00,1397.00
36917,1,1,0.53,5.07,-0.71,0.62,0.37,-1.12,0.46,4.44,-0.64,-0.00000001,1397.00,1397.00,1397.00,1397.00
37080,1,1,0.89,5.08,-0.70,-4.12,-0.37,-1.19,0.82,4.45,-0.63,-0.00000099,1399.00,1395.00,1395.00,1399.00
37416,1,1,0.75,5.09,-0.70,1.25,0.62,0.56,0.68,4.46,-0.63,0.00000004,1397.00,1397.00,1397.00,1397.00
37494,1,1,0.75,5.08,-0.70,0.13,0.5,-0.50,0.68,4.45,-0.63,-0.00000017,1397.00,1397.00,1397.00,1397.00
37655,1,1,0.90,5.09,-0.69,-2.25,0.37,-1.19,0.83,4.46,-0.62,-0.00000064,1398.00,1396.00,1396.00,1398.00
38004,1,1,0.92,5.10,-0.68,4.19,0.44,-0.50,0.85,4.47,-0.61,0.00000053,1396.00,1398.00,1398.00,1396.00
38229,1,1,0.19,5.26,-0.69,2.75,0.62,-0.50,0.12,4.63,-0.62,0.00000047,1397.00,1397.00,1397.00,1397.00
38278,1,1,0.09,5.27,-0.70,0.75,0.31,0.25,0.02,4.64,-0.63,0.00000013,1397.00,1397.00,7.00,1397.00
38308,1,1,0.07,5.27,-0.70,-0.37,0.13,0.13,0.00,4.64,-0.63,-0.00000007,1397.00,1397.00,1397.00,1397.00
38467,1,1,0.50,5.27,-0.69,-2.37,-0.56,0.88,0.43,4.64,-0.62,-0.00000056,1398.00,1396.00,1396.00,1398.00
38575,1,1,0.83,5.25,-0.68,-2.69,0.25,-1.00,0.76,4.62,-0.61,-0.00000071,1398.00,1396.00,1396.00,1398.00
38636,1,1,1.03,5.24,-0.67,-1.94,-0.13,-0.37,0.96,4.61,-0.60,-0.00000062,1398.00,1396.00,1396.00,1398.00
38664,1,1,1.04,5.24,-0.67,0.56,-0.31,-0.44,0.97,4.61,-0.60,-0.00000017,1397.00,1397.00,1397.00,1397.00
38799,1,1,0.82,5.24,-0.66,1.19,-0.31,0.94,0.75,4.61,-0.59,0.00000001,1397.00,1397.00,1397.00,1397.00
38868,1,1,0.74,5.24,-0.66,1.50,0,0.94,0.67,4.61,-0.59,0.00000009,1397.00,1397.00,1397.00,1397.00
39027,1,1,0.53,5.27,-0.66,-0.19,-0.44,1.31,0.46,4.64,-0.59,-0.00000016,1397.00,1397.00,1397.00,1397.00
39379,1,1,1.30,5.21,-0.63,-4.37,0.00,-0.25,1.23,4.58,-0.56,-0.00000115,1399.00,1395.00,1395.00,1399.00
39723,1,1,0.37,5.23,-0.67,-1.31,-0.06,-0.88,0.30,4.60,-0.60,-0.00000032,1397.00,1397.00,1397.00,1397.00
39782,1,1,0.68,5.22,-0.64,-7.19,-0.37,-1.25,0.61,4.59,-0.57,-0.00000149,1400.00,1394.00,1394.00,1400.00
39945,1,1,1.74,5.22,-0.63,-5.31,-0.13,-0.94,1.67,4.59,-0.56,-0.00000144,1399.00,1395.00,1395.00,1399.00
40011,1,1,1.81,5.23,-0.64,-0.44,0.37,0.44,1.74,4.60,-0.57,-0.00000056,139,1396.00,1396.00,1398.00
40298,1,1,0.66,5.33,-0.63,-1.12,-0.81,-0.44,0.59,4.70,-0.56,-0.00000037,1397.00,1397.00,1397.00,1397.00
40532,1,1,1.,5.31,-0.62,-3.87,-0.50,-0.25,1.01,4.68,-0.55,-0.00000099,1399.00,1395.00,1395.00,1399.00
40583,1,1,1.21,5.31,-0.63,-0.88,-0.94,1.19,1.14,4.68,-0.56,-0.00000048,1397.00,1397.00,1397.00,1397.00
40707,1,1,1.63,5.33,-0.61,-2.50,0.19,-1.19,1.56,4.70,-0.54,-0.00000089,1398.00,1396.00,1396.00,1398.00
40865,1,1,1.42,5.33,-0.60,3.12,0.13,-0.50,1.35,4.70,-0.53,0.00000020,1397.00,1397.00,1397.00,1397.00
41220,1,1,0.59,5.36,-0.62,-3.19,-0.25,-0.37,0.52,4.73,-0.55,-0.00000073,1398.00,1396.00,1396.00,1398.00
41555,1,1,1.99,5.36,-0.59,-0.44,-0.06,-0.88,1.92,4.73,-0.52,-0.00000061,1398.00,1396.00,1396.00,1398.00
41634,1,1,1.96,5.36,-0.58,2.75,1.06,-0.81,1.89,4.73,-0.51,-0.00000002,1397.00,1397.00,1397.00,1397.00
41787,1,1,0.73,5.43,-0.61,8.94,0.44,-0.56,0.66,4.80,-0.54,0.00000146,1395.00,1399.00,1399.00,1395.00
42141,1,1,1.97,5.24,-0.57,1.19,-0.06,-0.25,1.90,4.61,-0.50,-0.00000031,1397.00,1397.00,1397.00,1397.00
42203,1,1,1.97,5.23,-0.55,0.44,0.56,5,1.90,4.60,-0.48,-0.00000045,1397.00,1397.00,1397.00,1397.00
42367,1,1,1.76,5.24,-0.54,4.62,-0.06,-0.25,1.69,4.61,-0.47,0.00000038,1397.00,1397.00,1397.00,1397.00
42713,1,1,1.86,5.32,-0.54,0.69,0.19,0.50,1.79,4.69,-0.47,-0.00000037,1397.00,1397.00,1397.00,1397.00
42795,1,1,1.77,5.34,-0.53,1.81,-0.25,0.00,1.70,4.71,-0.46,-0.00000014,1397.00,1397.00,1397.00,1397.00
43023,1,1,1.36,5.35,-0.52,-3.69,0.81,0.06,1.29,4.72,-0.45,-0.00000104,1399.00,1395.00,1395.00,1399.00
43063,1,1,1.43,5.35,-0.51,-0.88,0.25,0.50,1.36,4.72,-0.44,-0.00000054,1398.00,1396.00,1396.00,1398.00
43287,1,1,1.66,5.35,-0.50,-0.88,0.19,0.88,1.59,4.72,-0.43,-0.00000060,1398.00,1396.00,1396.00,1398.00
43517,1,1,1.53,5.32,-0.48,0.94,-0.25,-0.62,1.46,4.69,-0.41,-0.00000023,1397.00,1397.00,1397.00,1397.00
43822,1,1,0.90,5.32,-0.50,-0.25,0.94,-0.62,0.83,4.69,-0.43,-0.00000028,1397.00,1397.00,1397.00,1397.00
43861,1,1,0.84,5.35,-0.52,-0.75,-0.81,0.37,0.77,4.72,-0.45,-0.00000035,1397.00,1397.00,1397.00,1397.00
44083,1,1,0.81,5.29,-0.49,-0.44,-0.06,-1.25,0.74,4.66,-0.42,-0.00000029,1397.00,1397.00,1397.00,1397.00
44161,1,1,0.80,5.29,-0.49,0.13,-0.81,0.00,0.73,4.66,-0.42,-0.00000018,1397.00,1397.00,1397.00,1397.00
44325,1,1,0.75,5.28,-0.49,-0.06,0.50,-0.31,0.68,4.65,-0.42,-0.00000020,1397.00,1397.00,1397.00,1397.00
44541,1,1,0.87,5.22,-0.46,-2.81,0.31,-0.25,0.80,4.59,-0.39,-0.00000074,1398.00,1396.00,1396.00,1398.00
44632,1,1,0.99,5.23,-0.46,-2.50,0.81,0.50,0.92,4.60,-0.39,-0.00000071,1398.00,1396.00,1396.00,1398.00
44675,1,1,1.06,5.24,-0.46,-2.87,0.50,-1.19,0.99,4.61,-0.39,-0.00000080,1398.00,1396.00,1396.00,1398.00
44896,1,1,1.08,5.24,-0.44,1.19,-0.50,-1.19,1.01,4.61,-0.37,-0.00000006,1397.00,1397.00,1397.00,1397.00
44983,1,1,1.00,5.24,-0.44,1.25,-0.13,0.19,0.93,4.61,-0.37,-003,1397.00,1397.00,1397.00,1397.00
45130,1,1,1.12,5.24,-0.43,-4.31,-0.37,-0.06,1.05,4.61,-0.36,-0.00000108,1399.00,1395.00,1395.00,1399.00
45313,1,1,1.58,5.25,-0.44,4.56,0.13,1.37,1.51,4.62,-0.37,0.00000042,1397.00,1397.00,1397.00,1397.00
45463,1,1,0.87,5.22,-0.43,2.37,0.00,0.50,0.80,4.59,-0.36,0.00000022,1397.00,1397.00,1397.00,1397.00
45530,1,1,0.84,5.24,-0.43,-0.88,-0.44,1.00,0.77,4.61,-0.36,-7,1397.00,1397.00,1397.00,1397.00
45701,1,1,0.97,5.23,-0.42,-2.62,0.37,0.88,0.90,4.60,-0.35,-0.00000073,1398.00,1396.00,1396.00,1398.00
45751,1,1,1.<59155,1,1,1.17,5.23,-0.39,-2.56,-0.31,0.19,1.10,4.60,-0.32,-01396.00,1398.00
46046,1,1,1.12,5.26,-0.38,-3.50,0.06,-0.25,1.05,4.63,-0.31,-0.00000093,1398.00,1396.00,1396.00,1398.00
46277,1,1,1.77,5.25,-0.34,0.94,-0.62,0.31,1.70,4.62,-0.27,-0.00000030,1397.00,1397.00,1397.00,1397.00
46353,1,1,1.56,5.26,-0.33,2.12,0.31,-0.31,1.49,4.63,-0.26,-0.00000002,1397.00,1397.00,1397.00,1397.00
46395,1,1,1.45,5.27,-0.34,4.44,0.69,-0.31,1.38,4.64,-0.27,0.00000043,1397.00,1397.00,1397.00,1397.00
46612,1,1,16,5.27,-0.34,-3.94,-0.75,-0.56,1.09,4.64,-0.27,-0.00000103,1399.00,1395.00,1395.00,1399.00
46701,1,1,1.31,5.23,-0.35,-1.44,0.00,-0.37,1.24,4.60,-0.28,-0.00000061,1398.00,1396.00,1396.00,1398.00
46741,1,1,1.36,5.22,-0.32,-1.62,-0.75,0.31,1.29,4.59,-0.25,-0.00000066,1398.00,1396.00,1396.00,1398.00
46975,1,1,1.09,5.22,-0.31,4.62,0.13,0.69,1.02,4.59,-0.24,0.00000057,1396.00,1398.00,1398.00,1396.00
47042,1,1,0.81,5.22,-0.32,0.44,0.37,0.13,0.74,4.59,-0.25,-0.00000012,1397.00,1397.00,1397.00,1397.00
47075,1,1,0.81,5.21,-0.32,-0.13,-0.69,-0.69,0.74,4.58,-0.25,-0.00000023,1397.00,1397.00,1397.00,1397.00
47322,1,1,0.91,5.23,-0.29,2.31,0.25,-0.19,0.84,4.60,-0.22,0.00000019,1397.00,1397.00,1397.00,1397.00
47661,1,1,1.18,5.23,-0.30,-0.13,0.06,0.06,1.11,4.60,-0.23,-0.00000033,1397.00,1397.00,1397.00,1397.00
47887,1,1,1.13,5.19,-0.31,-4.00,0.13,1.19,1.06,4.56,-0.24,-0.00000103,1399.00,1395.00,1395.00,1399.00
48072,1,1,1.32,5.18,-0.30,1.44,-0.44,-0.94,1.25,4.55,-0.23,-0.00000008,1397.00,1397.00,1397.00,1397.00
48221,1,1,0.99,5.32,-0.31,3.50,-0.31,0.62,0.92,4.69,-0.24,0.00000039,1397.00,1397.00,1397.00,1397.00
48457,1,1,0.81,5.34,-0.29,-3.12,0.06,-0.25,0.74,4.71,-0.22,-0.00000078,1398.00,1396.00,1396.00,1398.00
48512,1,1,1.01,5.34,-0.29,-2.75,0.44,0.69,0.94,4.71,-0.22,-0.00000077,1398.00,0,1396.00,1398.00
48812,1,1,0.74,5.25,-0.28,2.06,0.00,-0.13,0.67,4.62,-0.21,0.00000019,1397.00,1397.00,1397.00,1397.00
49038,1,1,0.41,5.12,-0.30,-3.06,-0.06,0.13,0.34,4.49,-0.23,-0.00000066,1398.00,1396.00,1396.00,1398.00
49270,1,1,1.00,5.13,-026,0.75,1.00,-0.75,0.93,4.50,-0.19,-0.00000012,1397.00,1397.00,1397.00,1397.00
