micros,flip,phase,spf_roll,roll_abs,roll,pitch,yaw,spf_r_rate,gxrs,error_roll,error_r_rate,m1,m2,m3,m4
129972,1,0,350.00,84.90,-4.27,4.93,2.93,0.00,8.37,-4.80,-9.00,1009.00,1021.00,1021.00,1009.00
130159,1,0,350.00,84.90,-4.03,4.86,2.96,0.00,-5.62,-4.74,3.50,1013.00,1015.00,1015.00,1013.00
130752,0,0,350.00,84.90,-2.85,4.58,3.05,0.00,-1.37,-3.57,1.56,1013.00,1015.00,1015.00,1013.00
130967,0,0,350.00,84.90,-2.00,4.51,3.07,0.00,-1.44,-2.67,1.56,1014.00,1014.00,1014.00,1014.00
131331,0,0,350.00,84.90,-2.24,4.46,3.09,0.00,3.50,-2.91,-3.62,1011.00,1017.00,1017.001017.00,1011.00
131544,0,0,350.00,84.90,-2.02,4.44,3.10,0.00,-3.69,-2.80,2.81,1014.00,1014.00,1014.00,1014.00
131577,0,0,350.00,84.90,-1.87,4.44,3.11,0.00,-3.12,-2.65,3.25,1014.00,1014.00,1014.00,1014.00
131775,0,0,350.00,84.90,-1.55,4.42,3.11,0.00,1.06,-2.18,-0.13,1013.00,1015.00,1015.00,1013.00
132364,0,0,350.00,84.90,-1.53,4.39,3.12,0.00,-2.19,-2.18,1.19,1014.00,1014.00,1014.00,1014.00
132583,0,0,350.00,84.90,-1.43,4.38,3.12,0.00,0.88,-2.06,-0.44,1013.00,1015.00,1015.00,1013.00
133152,0,0,350.00,84.90,-1.27,4.36,3.13,0.00,0.81,-1.95,-0.56,1013.00,1015.00,1015.00,1013.00
133192,0,0,350.00,84.90,-1.28,4.36,3.13,0.00,0.56,-1.97,-0.94,1013.00,1015.00,1015.00,1013.00
133961,0,0,350.00,84.90,-1.29,4.36,3.13,0.00,1.87,-1.96,-1.19,1016.00,1018.00,1018.00,1016.00
134006,0,0,350.00,84.90,-1.35,4.36,3.13,0.00,2.06,-2.03,-2.00,1016.00,1018.00,1018.00,1016.00
134185,0,0,350.00,84.90,-1.60,4.36,3.13,0.00,0.75,-2.29,-1.00,1016.00,1018.00,1018.00,1016.00
134553,0,0,350.00,84.90,-1.28,4.36,3.13,0.00,-0.25,-1.98,0.06,1016.00,1018.00,1018.001018.00,1016.00
134765,0,0,350.00,84.90,-1.45,4.36,3.13,0.00,0.81,-2.07,-0.88,1018.00,1020.00,1020.00,1018.00
134798,0,0,350.00,84.90,-1.50,4.36,3.13,0.00,1.37,-2.17,-1.31,1018.00,1020.00,1020.00,1018.00
135012,0,0,350.00,84.90,-1.53,4.36,3.13,0.00,-0.37,-2.23,0.13,1018.00,1020.00,1020.00,1018.00
135349,0,0,350.00,84.90,-1.36,4.36,3.13,0.00,1.69,-2.02,-1.44,1018.00,1020.00,1020.001020.00,1018.00
135577,0,0,350.00,84.90,-1.58,4.36,3.13,0.00,-0.25,-2.21,-0.50,1018.00,1020.00,1020.00,1018.00
135613,0,0,350.00,84.90,-1.57,4.36,3.13,0.00,-0.50,-2.21,0.37,1018.00,1020.00,1020.00,1018.00
136378,0,0,350.00,84.90,-1.55,4.36,3.13,0.00,-0.56,-2.26,0.25,1018.00,1020.00,1020.00,1018.00
136420,0,0,350.00,84.90,-1.52,4.36,3.13,0.00,-1.44,-2.24,0.75,1017.00,1017.00,1017.00,1017.00
