millis,armed,roll,pitch,yaw,gx,gy,gz,err_roll,err_pitch,err_yaw,u2,m1,m2,m3,m4
80061,1,-1.17,5.19,-1.61,9.13,0.37,0.44,-1.05,4.56,-1.54,0.00000228,1036.00,1044.00,1044.00,1036.00
80097,1,-1.45,5.19,-1.61,6.62,0.31,-0.06,-1.40,4.56,-1.54,0.00000179,1048.00,1054.00,1054.00,1048.00
81101,1,0.79,5.21,-1.62,-0.94,-1.06,-0.37,0.71,4.59,-1.55,-0.00000130,1264.00,1260.00,1260.00,1264.00
82360,1,-0.19,5.29,-1.65,-1.81,-0.62,-0.31,-0.30,4.66,-1.58,-0.00000035,1322.00,1322.00,1322.00,1322.00
82604,1,0.23,5.27,-1.63,1.44,0.25,-0.62,0.18,4.64,-1.57,-0.0000002.00000022,1322.00,1322.00,1322.00,1322.00
82707,1,0.03,5.27,-1.63,1.87,0.00,-0.50,0.01,4.63,-1.56,0.00000023,1322.00,1322.00,1322.00,1322.00
84095,1,0.05,5.26,-1.62,1.94,0.69,0.88,0.03,4.63,-1.54,0.00000042,1322.00,1322.00,1322.00,1322.00
84345,1,0.10,5.29,-1.61,-2.75,0.00,-0.44,-0.03,4.66,-1.55,-0.00000058-0.00000051,1323.00,1321.00,1321.00,1323.00
84435,1,0.36,5.27,-1.59,-1.19,-1.12,-0.88,0.25,4.65,-1.53,-0.00000059,1323.00,1321.00,1321.00,1323.00
85123,1,0.37,5.32,-1.60,-0.88,0.13,0.25,0.29,4.69,-1.53,-0.00000031,1322.00,1322.00,1322.00,1322.00
87206,1,0.27,5.41,-1.57,-1.50,0.25,0.13,0.18,4.78,-1.50,-0.00000033,1322.00,1322.00,1322.00,1322.00
87539,1,0.90,5.41,-1.56,1.69,0.37,0.19,0.86,4.80,-1.50,-0.00000004,1322.00,1322.00,1322.00,1322.00
87582,1,0.77,5.42,-1.56,3.62,-0.13,0.19,0.77,4.78,-1.49,0.00000040,1322.00,1322.00,1322.00,1322.00
87778,1,0.30,5.44,-1.57,0.31,0.44,-0.37,0.23,4.82,-1.50,-0.00000013,1322.00,1322.00,1322.00,1322.00
88115,1,0.90,5.39,-1.58,0.69,-0.37,0.62,0.85,4.76,-1.50,-0.00000007,1322.00,1322.00,1322.00,1322.00
88389,1,0.40,5.39,-1.57,0.94,-0.37,0.06,0.33,4.76,-1.50,0.00000005,1322.00,1322.00,13,1322.00
89047,1,0.51,5.47,-1.55,1.50,-0.50,0.25,0.46,4.84,-1.48,0.00000022,1322.00,1322.00,1322.00,1322.00
89344,1,0.78,5.46,-1.55,-3.81,-0.25,-0.31,0.63,4.83,-1.49,-0.0000,1323.00,1321.00,1321.00,1323.00
89379,1,1.01,5.45,-1.54,-2.00,-0.94,0.31,0.89,4.83,-1.47,-0.00000065,1323.00,1321.00,1321.00,1323.00
89729,1,1.12,5.47,-1.52,-0.56,-0.06,0.25,1.05,4.85,-1.47,-0.00000027,1322.00,1322.00,1322.00,1322.00
90005,1,1.38,5.46,-1.52,-0.31,0.56,0.19,1.31,4.83,-1.45,-0.00000047,.00,1322.00,1322.00,1322.00
90070,1,1.31,5.46,-1.52,1.75,0.69,0.62,1.29,4.83,-1.43,-0.00000010,1322.00,1322.00,1322.00,1322.00
90956,1,1.44,5.44,-1.51,0.06,-0.25,-0.37,1.39,4.81,-1.44,-0.00039,1322.00,1322.00,1322.00,1322.00
91348,1,1.83,5.43,-1.49,0.13,-0.25,-0.25,1.76,4.80,-1.43,-0.00000052,1323.00,1321.00,1321.00,1323.00
91381,1,1.84,5.42,-1.49,-0.81,-0.75,0.50,1.76,4.80,-1.42,-0.00000051,1323.00,1321.00,1321.00,10
91684,1,1.81,5.42,-1.49,1.12,0.50,0.44,1.76,4.79,-1.41,-0.00000026,1322.00,1322.00,1322.00,1322.00
92026,1,1.74,5.40,-1.47,-0.44,0.25,-0.69,1.66,4.77,-1.41,-0.00000067,1323.00,1321.00,1321.00,1323.00
92572,1,1.56,5.46,-1.47,-1.06,0.25,-0.44,1.55,482,-1.41,-0.00000078,1323.00,1321.00,1321.00,1323.00
92993,1,1.43,5.39,-1.51,-0.25,-0.62,-0.44,1.40,4.76,-1.44,-0.00000045,.00,1321.00,1321.00,1323.00
93061,1,1.53,5.38,-1.50,-1.62,-0.62,0.44,1.44,4.75,-1.43,-0.00000076,1323.00,1321.00,1321.00,1323.00
93106,1,1.53,5.38,-1.50,0.06,0.37,0.19,1.46,4.75,-1.43,-0.00000042,1322.00,1322.00,1322.00,1322.00
94343,1,1.57,5.30,-1.52,-0.37,0.00,0.13,1.50,4.67,-1.45,-0.00000043,1322.00,1322.00,1322.00,1322.00
94673,1,1.44,5.34,-1.52,-1.56,0.62,0.44,1.35,4.71,-1.45,-0.00000039,1322.00,1322.00,1322.00,1322.00
95022,1,1.54,5.36,-1.50,3.94,0.94,-0.13,1.55,4.72,-1.44,0.00000040,1322.00,1322.00,1322.00,1322.00
95558,1,1.59,5.29,-1.52,-2.00,0.50,-0.62,1.50,4.66,-1.46,-0076,1323.00,1321.00,1321.00,1323.00
95596,1,1.40,5.26,-1.53,2.69,-0.06,0.00,1.41,4.63,-1.47,0.00000001,1322.00,1322.00,1322.00,1322.00
96477,1,0.61,5.35,-1.59,0.56,-0.50,0.62,0.56,4.72,-1.51,0.000008,1322.00,1322.00,1322.00,1322.00
96516,1,0.61,5.35,-1.60,-1.06,-0.37,-0.44,0.53,4.72,-1.53,-0.00000032,1322.00,1322.00,1322.00,1322.00
96754,0,0.67,5.38,-1.47,7.75,1.19,2.37,0.73,4.71,-1.38,0.00000040.00000126,1320.00,1324.00,1324.00,1320.00
96858,0,0.19,5.41,-1.45,-0.69,3.25,-1.81,0.11,4.74,-1.41,-0.00000023,1322.00,1322.00,1322.00,1322.00
96893,0,0.09,5.36,-1.46,4.44,-1.31,-1.69,0.10,4.77,-1.41,0.00000042,1322.00,1322.00,1322.00,1322.00
97205,0,1.51,5.34,-1.46,-5.37,1.37,-0.94,1.33,4.69,-1.39,-0.00000144,1324.00,1320.00,1320.00,1324.00
97683,0,0.52,5.41,-1.45,-6.06,-0.13,-0.69,0.39,4.78,-1.39,-0.00000110-0.00000124,1220.00,1216.00,1216.00,1220.00
98122,0,0.99,5.42,-1.46,4.94,0.62,0.13,0.97,4.79,-1.39,0.00000079,1275.00,1277.00,1277.00,1275.00
99406,0,0.61,5.31,-1.57,2.50,0.37,0.13,0.61,4.68,-1.50,0.00000020,1378.00,1378.00,1378.00,1378.00
99438,0,0.50,5.30,-1.57,2.19,-0.31,0.00,0.47,4.67,-1.50,0.00000030,1391.00,1391.00,1391.00,1391.00
99667,0,-0.54,5.30,-1.58,1.19,0.31,0.00,-0.58,4.67,-1.51,0.00000060,1450.00,1452.00,454.00,1454.00
100134,0,0.37,5.27,-1.60,2.44,0.19,0.00,0.33,4.64,-1.53,0.00000038,1496.00,1496.00,1496.00,14
100471,0,-0.61,5.27,-1.61,-1.94,0.25,0.00,-0.70,4.64,-1.54,0.00000002,1496.00,1496.00,1496.00,1496.00
101080,0,-0.61,5.25,-1.63,2.94,0.13,0.13,-0.65,4.62,-1.56,0.005,1012.00,1012.00,1012.00,1012.00
101490,1,0.39,5.24,-1.64,0.37,0.13,-0.06,0.32,4.61,-1.57,-0.00000020.00000002,1014.00,1014.00,1014.00,1014.00
101579,1,0.13,5.24,-1.65,3.37,0.19,0.13,0.09,4.61,-1.57,0.00000048,1014.00,1014.00,1014.00,1014.00
101921,1,-0.42,5.24,-1.66,-4.69,-0.13,-0.31,-0.57,4.61,-1.59,-0.00000063,1015.00,1013.00,1013.00,1015.00
103540,1,-0.04,5.31,-1.70,-2.62,-0.13,0.19,-0.15,4.68,-1.63,-0.00000004-0.00000045,1471.00,1471.00,1471.00,1471.00
104735,1,2.82,5.29,-1.45,-4.44,-0.37,1.37,2.69,4.66,-1.35,-0.00000074,1476.00,1474.00,1474.00,1.00
105032,1,3.17,5.29,-1.48,4.37,0.56,0.25,3.15,4.66,-1.41,-0.00000093,1476.00,1474.00,1474.00,1476.00
106529,1,2.59,5.29,-1.92,-5.12,-0.56,-0.69,2.47,4.65,-1.85,-0.00000087,1476.00,1474.00,1474.00,1476.00
106868,1,3.89,5.27,-1.99,-3.56,0.25,-0.56,3.75,4.63,-1.93,-0.00000147,1477.00,1473.00,1473.00,1477.00
107340,1,2.07,5.29,-1.88,4.94,-0.13,-0.25,2.05,4.65,-1.81,0.00000043.00000035,1475.00,1475.00,1475.00,1475.00
107445,1,1.99,5.29,-1.92,1.31,-0.56,1.37,1.94,4.66,-1.82,-0.00000047,1475.00,1475.00,1475.00,1475.00
107482,1,1.98,5.30,-1.92,0.19,0.81,-0.50,1.89,4.67,-1.84,-0.00000040,1475.00,1475.00,1475.00,1475.00
107714,1,1.95,5.30,-1.94,1.69,-0.13,-0.56,1.93,4.67,-1.87,0.00000005,1475.00,10,1474.00,1476.00
108389,1,2.46,5.33,-2.20,-1.81,-0.31,0.75,2.38,4.70,-2.12,-0.00000118,1477.00,1473.00,1473.00,1477.00
108908,1,3.80,5.35,-2.36,1.44,0.88,1.06,3.78,4.,-2.30,-0.00000128,1477.00,1473.00,1473.00,1477.00
109291,1,3.23,5.34,-2.29,6.81,-0.44,0.62,3.30,4.72,-2.22,0.00000016,1475.00,1475.00,1475.00,1475.00
110245,1,4.58,5.38,-2.32,0.81,0.62,0.06,4.51,4.74,-2.26,-0.00000125,1477.00,14,1474.00,1476.00
111436,1,2.93,5.38,-2.21,6.75,0.25,-2.06,3.00,4.75,-2.17,031,1224.00,1224.00,1224.00,1224.00
111477,1,2.62,5.37,-2.17,3.25,-0.37,0.06,2.62,4.74,-2.12,-0.00000014,1158.00,1158.00,1158.00,1158.00
111824,1,1.89,5.31,-2.17,-0.88,0.25,-0.06,1.84,4.67,-2.10,-0.00000082,1015.00,1013.00,1013.00,1015.00
112161,0,1.00,5.29,-2.25,-1.50,-0.06,-0.13,0.93,4.65,-2.18,-0.00000057,1015.00,1013.00,1013.00,1015.00
113053,0,0.27,5.26,-2.33,0.25,-0.06,-0.13,0.21,4,-2.26,0.00000000,1014.00,1014.00,1014.00,1014.00
113893,0,-0.06,5.25,-2.38,-0.44,0.00,-0.06,-0.12,4.62,-2.31,-0.00000001,1019.00,1019.00,1019.00,1019.00
113932,0,-0.07,5.25,-2.38,-0.37,0.00,-0.13,-0.14,4.62,-2.31,-0.00000004,1019.00,1019.00,1019.00,1019.
114357,0,-0.19,5.25,-2.39,-0.31,0.06,0.00,-0.25,4.62,-2.32,0.00000005,1019.00,1019.00,1019.00,1019.00
114693,0,-0.26,5.25,-2.40,-0.06,0.06,0.00,-0.33,4.62,-2.33,0.00000012,1019.00,1019.00,1019.00,1019.00
115040,0,-0.26,5.25,-2.40,0.00,-0.13,-0.06,-0.33,4.62,-2.33,0.00000013,1019.00,1019.00,1019.00,1019.00
116040,0,-0.26,5.25,-2.40,-0.06,-0.06,0.00,-0.33,4.62,.33,0.00000007,1019.00,1019.00,1019.00,1019.00
116471,0,-0.26,5.25,-2.40,-0.25,0.06,0.06,-0.33,4.62,-2.33,0.00000006,1019.00,1019.00,100,1019.00
117925,0,-0.26,5.25,-2.40,0.06,-0.06,0.13,-0.33,4.62,-2.33,0.00000008,1019.00,1019.00,1019.00,1019.00
117960,0,-0.26,5.25,-2.40,-0.13,0.00,0.06,-0.33,4.62,-2.33,0.00000005,1019.00,1019.00,1019.00,1019.00
